Year,Event type,Event sub-type,Value
2010,Biological,Epidemic,1
2010,Geological,Earthquake,1
2010,Meteorological - Hydrological,Flood,7
2010,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,2
2010,Meteorological - Hydrological,Storm - Unspecified / Other,1
2010,Meteorological - Hydrological,Storm Surge,1
2010,Meteorological - Hydrological,Storms and Severe Thunderstorms,2
2010,Meteorological - Hydrological,Tornado,3
2010,Meteorological - Hydrological,Wildfire,5
2010,Meteorological - Hydrological,Winter Storm,1
2011,Meteorological - Hydrological,Flood,7
2011,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,1
2011,Meteorological - Hydrological,Tornado,1
2011,Meteorological - Hydrological,Wildfire,5
2012,Biological,Epidemic,1
2012,Meteorological - Hydrological,Flood,6
2012,Meteorological - Hydrological,Wildfire,10
2013,Meteorological - Hydrological,Flood,4
2013,Meteorological - Hydrological,Storms and Severe Thunderstorms,1
2013,Meteorological - Hydrological,Winter Storm,3
2014,Meteorological - Hydrological,Flood,5
2014,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,1
2014,Meteorological - Hydrological,Wildfire,2
2015,Meteorological - Hydrological,Flood,3
2015,Meteorological - Hydrological,Storm - Unspecified / Other,1
2015,Meteorological - Hydrological,Storms and Severe Thunderstorms,6
2015,Meteorological - Hydrological,Tornado,1
2015,Meteorological - Hydrological,Wildfire,2
2015,Meteorological - Hydrological,Winter Storm,1
2016,Biological,Epidemic,1
2016,Geological,Landslide,1
2016,Meteorological - Hydrological,Flood,7
2016,Meteorological - Hydrological,Storm - Unspecified / Other,4
2016,Meteorological - Hydrological,Storms and Severe Thunderstorms,7
2016,Meteorological - Hydrological,Tornado,1
2016,Meteorological - Hydrological,Wildfire,5
2016,Meteorological - Hydrological,Winter Storm,3
2017,Meteorological - Hydrological,Flood,3
2017,Meteorological - Hydrological,Storms and Severe Thunderstorms,1
2017,Meteorological - Hydrological,Wildfire,1
2017,Meteorological - Hydrological,Winter Storm,3
2018,Meteorological - Hydrological,Flood,3
2018,Meteorological - Hydrological,Heat Event,1
2018,Meteorological - Hydrological,Storm - Unspecified / Other,1
2018,Meteorological - Hydrological,Storms and Severe Thunderstorms,3
2018,Meteorological - Hydrological,Tornado,1
2018,Meteorological - Hydrological,Wildfire,2
2018,Meteorological - Hydrological,Winter Storm,1
2019,Meteorological - Hydrological,Flood,2
2019,Meteorological - Hydrological,Winter Storm,2
