Year,Value,GeoCode
1990,594.7222434,
1991,587.9057939,
1992,605.2902488,
1993,607.6810769,
1994,628.1458692,
1995,645.4537665,
1996,666.6981081,
1997,682.2979879,
1998,688.613931,
1999,701.7587117,
2000,726.987283,
2001,718.3200432,
2002,724.2811296,
2003,743.2868544,
2004,745.1940475,
2005,741.1815369,
2006,734.5841374,
2007,756.8332581,
2008,739.0631516,
2009,697.7349388,
2010,709.6540607,
2011,720.82017,
2012,725.585889,
2013,732.1623016,
2014,729.5997834,
2015,732.5350157,
2016,715.0937692,
2017,725.0139736,
2018,740.0054652,
2019,738.2834461,
2020,672.3538152,
